37,1
95,2
69,6
66,11
31,14
18,19
68,20
52,25
65,27
39,31
25,36
41,39
3,46
16,46
63,49
14,50
76,51
60,52
26,55
42,56
59,56
99,60
72,63
28,72
53,72
89,75
91,79
35,85
96,85
9,97
97,99
98,105
86,107
5,108
27,111
75,112
10,128
19,131
33,139
92,143
11,147
51,147
32,148
48,148
13,156
30,156
36,161
43,161
83,161
61,165
77,165
21,166
88,166
70,167
6,168
58,171
45,175
47,177
56,177
20,179
7,182
46,183
15,186
24,188
73,188
100,193
64,201
17,204
79,205
29,209
50,212
34,216
67,217
49,220
55,230
22,232
87,233
80,239
84,239
85,246
57,247
71,253
44,256
93,259
90,260
82,266
1,267
23,277
74,277
54,278
8,281
40,286
78,287
62,288
81,288
4,289
12,289
94,290
2,294
38,295
